event_id,disaster_title,category,event_date,lon,lat,source_url,primary_category,data_type
EONET_21690,Wildfire in Australia 1029704,Wildfires,2026-07-17 19:00:00+00:00,131.22089576584,-13.453317123203,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029704,Wildfires,disaster
EONET_21691,Wildfire in Australia 1029708,Wildfires,2026-07-17 19:00:00+00:00,142.28662262077,-15.153819681868,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029708,Wildfires,disaster
EONET_21692,Wildfire in Angola 1029709,Wildfires,2026-07-17 19:00:00+00:00,15.652733382266,-10.834446611809,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029709,Wildfires,disaster
EONET_21693,Wildfire in Canada 1029710,Wildfires,2026-07-17 19:00:00+00:00,-121.76716350491,50.988699285972,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029710,Wildfires,disaster
EONET_21694,Wildfire in Australia 1029722,Wildfires,2026-07-17 19:00:00+00:00,132.13078653719,-12.553875018293,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029722,Wildfires,disaster
EONET_21695,Wildfire in Australia 1029723,Wildfires,2026-07-17 19:00:00+00:00,132.06497078812,-14.647130164221,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029723,Wildfires,disaster
EONET_21696,Wildfire in Angola 1029724,Wildfires,2026-07-17 19:00:00+00:00,15.084080984511,-10.269044401164,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029724,Wildfires,disaster
EONET_21697,Wildfire in Angola 1029725,Wildfires,2026-07-17 19:00:00+00:00,14.770726354189,-10.486889487197,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029725,Wildfires,disaster
EONET_21698,Wildfire in Brazil 1029726,Wildfires,2026-07-17 19:00:00+00:00,-50.526069082518,-11.992569411285,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029726,Wildfires,disaster
EONET_21699,Wildfire in Australia 1029729,Wildfires,2026-07-17 19:00:00+00:00,144.44177716745,-15.821399398711,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029729,Wildfires,disaster
EONET_21700,Wildfire in Angola 1029733,Wildfires,2026-07-17 19:00:00+00:00,17.199321117244,-8.5659510487077,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1029733,Wildfires,disaster
